artur.local;10.0.1.254
houssam.local;10.0.10.254
issacb.local;10.0.15.254
daniel.local;10.0.20.254
joel.local;10.0.25.254
albert.local;10.0.30.254
adam.local;10.0.35.254
maksym.local;10.0.40.254
eric.local;10.0.45.254
biel.local;10.0.50.254
nil.local;10.0.55.254
david.local;10.0.60.254
adrian.local;10.0.65.254
vlady.local;10.0.70.254
pol.local;10.0.75.254
nacay.local;10.0.80.254
alejandro.local;10.0.85.254
carlos.local;10.0.90.254
iker.local;10.0.95.254
marcel.local;10.0.100.254
pau.local;10.0.105.254
aleix.local;10.0.110.254
aniol.local;10.0.115.254
marcp.local;10.0.120.254
isaacs.local;10.0.125.254
erik.local;10.0.130.254
marcs.local;10.0.135.254
